English	Myanmar	Category	Notes	Update	Unnamed: 5	Unnamed: 6
Incidence	ဖြစ်ပွားမှု / ဖြစ်ပွားနှုန်း	Epidemiology	New case rate			
Incidence rate	ဖြစ်ပွားမှုနှုန်း	Epidemiology	Rate of occurrence			
Infection control	ကူးစက်မှု ထိန်းချုပ်ရေး	Prevention	Preventing transmission			
Injectable	ထိုးဆေး	Drugs	Injection medication			
Injectable-based therapy	ထိုးဆေးအခြေခံ ကုထုံး	Treatment	Injection-based treatment			
Inhibit	ဟန့်တား	Pharmacology	Block or prevent			
Integrate	ထည့်သွင်း ဆောင်ရွက်	Integration	Incorporate into system			
Integrate TB prevention	တီဘီရောဂါ ကာကွယ် ထည့်သွင်း ဆောင်ရွက်	Prevention	Include TB prevention			
Intervention	ကြားဝင်ဆောင်ရွက်မှု	Treatment	Medical intervention			
Ipm/Cln (Imipenem/Cilastatin)	Ipm/Cln (အီမီပီနမ်/ဆိုင်လာစတက်တင်ဆေးဝါး)	Drugs	Carbapenem combination			
Isoniazid	အိုင်ဆိုနိုင်ယာဇစ်ဆေးဝါး	Drugs	First-line medication			
Laboratory	ဓာတ်ခွဲခန်း	Facility	Testing facility			
Last-resort options	နောက်ဆုံး ရွေးချယ်စရာများ	Treatment	Final treatment options			
Latent TB	ပုန်းလျှိုးနေသောတီဘီ	Diagnosis	Dormant TB infection	ပုန်းလျှိုးနေသောတီဘီ		
Latent TB infection	ပုန်းလျှိုးနေသောတီဘီ ကူးစက်မှု	Diagnosis	Inactive TB	ပုန်းလျှိုးနေသောတီဘီ ကူးစက်မှု		
Levofloxacin	လီဗိုဖလော့ဇာဆင်ဆေးဝါး	Drugs	Fluoroquinolone antibiotic			
Lfx (Levofloxacin)	Lfx (လီဗိုဖလော့ဇာဆင်ဆေးဝါး)	Drugs	Fluoroquinolone			
Linezolid	လိုင်နီဇိုလစ်ဆေးဝါး	Drugs	Oxazolidinone antibiotic			
Lzd (Linezolid)	Lzd (လိုင်နီဇိုလစ်ဆေးဝါး)	Drugs	Oxazolidinone			
Major health problem	အဓိက ကျန်းမာရေး ပြဿနာ	Public Health	Significant health issue			
MDR-TB	MDR-TB (ဆေးယဉ်ပါး တီဘီရောဂါ)	Diagnosis	Multi-drug resistant TB			
Medical history	ရောဂါဖြစ်စဉ် သမိုင်း	Medical	Patient history			
Meropenem	မီရိုပီနမ်ဆေးဝါး	Drugs	Carbapenem antibiotic			
Mfx (Moxifloxacin)	Mfx (မော့ဇီဖလော့ဇာဆင်ဆေးဝါး)	Drugs	Fluoroquinolone			
Milestone	ဝိသေသ ရည်မှန်းချက်	Goals	Target achievement			
Monitoring	စောင့်ကြည့်မှု	Treatment	Observation			
Mortality	သေဆုံးမှု	Epidemiology	Death rate			
Moxifloxacin	မော့ဇီဖလော့ဇာဆင်ဆေးဝါး	Drugs	Fluoroquinolone antibiotic			
Mpm (Meropenem)	Mpm (မီရိုပီနမ်ဆေးဝါး)	Drugs	Carbapenem			
Multi-drug resistant TB	ဆေးယဉ်ပါး တီဘီရောဂါ	Diagnosis	MDR-TB			
Mycobacterial	မိုင်ကိုဘက်တီးရီးယား	Microbiology	Related to mycobacteria			
National TB Programme	အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း	Organization	NTP			
Neuropsychiatric effects	အာရုံကြောစိတ်ပိုင်းဆိုင်ရာ အကျိုးသက်ရောက်မှုများ	Side Effects	Mental health effects			
New cases	လူနာသစ်များ	Epidemiology	Newly diagnosed	လူနာသစ်များ		
New TB incidence	တီဘီလူနာသစ်ဖြစ်ပွားမှု	Epidemiology	New TB occurrence			
Notification	သတင်းပို့ခြင်း	Reporting	Case reporting			
NTP (National TB Programme)	NTP (အမျိုးသား တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်း)	Organization	National program			
Objective	ရည်ရွယ်ချက် / ရည်မှန်းချက်	Goals	Goal or aim			
Oral	ပါးစပ်ဖြင့်သောက်ရသော	Route	By mouth	ပါးစပ်ဖြင့်သောက်ရသော		
Ototoxicity	နားအဆိပ်သင့်မှု	Side Effects	Ear toxicity			
Pa (Pretomanid)	Pa (ပရီတိုမာနစ်ဆေးဝါး)	Drugs	Newer oral TB drug			
Paradigm shift	စံနမူနာ ပြောင်းလဲမှု	Change	Fundamental change			
Patient education	လူနာအား ပညာပေးခြင်း	Education	Teaching patients			
Penetration	ထိုးဖောက်ဝင်ရောက်မှု	Pharmacology	Tissue penetration			
Per 100000 population	လူ ၁ သိန်းတွင်	Statistics	Rate per 100,000			
Population	လူဦးရေ / ပြည်သူလူထူ	Demographics	People			
Pregnancy	ကိုယ်ဝန်	Demographics	Pregnant state			
Prescription errors	ဆေးညွှန်းအမှား	Safety	Medication errors			
Pretomanid	ပရီတိုမာနစ်ဆေးဝါး	Drugs	Novel TB medication			
Prevalence	ဖြစ်ပွားမှု	Epidemiology	Disease prevalence			
Prevention	ကာကွယ်ရေး	Public Health	Disease prevention			
Preventive therapy	ကာကွယ်ရေး ကုထုံး	Prevention	Prophylactic treatment			
Primary healthcare	ပဏာမ ကျန်းမာရေး စောင့်ရှောက်မှု	Healthcare System	First-level care			
Primary healthcare approach	ပဏာမကျန်းမာရေး စောင့်ရှောက်မှု နည်းဗျူဟာ	Healthcare System	Primary care strategy			
Prothionamide	ပရိုသီအိုနမိုက်ဆေးဝါး	Drugs	Second-line medication			
Protocol	စနစ်	Standards	Treatment protocol			
Pto (Prothionamide)	Pto (ပရိုသီအိုနမိုက်ဆေးဝါး)	Drugs	Second-line TB drug			
Public health	ပြည်သူ့ကျန်းမာရေး	Public Health	Community health			
Pulmonary TB	အဆုတ်တီဘီ	Diagnosis	Lung tuberculosis			
Pyrazinamide	ပိုင်ရာဇီနမိုက်ဆေးဝါး	Drugs	First-line medication			
QT interval	QT interval	Monitoring	Cardiac measurement			
R (Rifampicin)	R (ရိုင်ဖမ်ပီဆင်ဆေးဝါး)	Drugs	First-line TB drug			
Radiological findings	ရေဒီယိုလိုဂျီ တွေ့ရှိချက်များ	Diagnosis	X-ray findings			
Reduce	လျော့ချ / လျှော့ချ	Goals	Decrease			
Reduce incidence	ဖြစ်ပွားမှု လျော့ချ	Goals	Lower occurrence			
Reduction	လျော့ချမှု / လျှော့ချမှု	Goals	Decrease			
Regimen	ကုထုံး	Treatment	Treatment protocol			
Regimen composition	ကုထုံး ဖွဲ့စည်းမှု	Treatment	Treatment makeup			
Relapse	တစ်ဖန် ပြန်ဖြစ်ခြင်း	Treatment Outcome	Disease recurrence			
Resistance	ဒဏ်ခံမှု / ယဉ်ပါးမှု	Microbiology	Drug resistance			
Resistance rates	ဒဏ်ခံမှုနှုန်း	Microbiology	Resistance frequency			
Rfb (Rifabutin)	Rfb (ရိုင်ဖာဘျူတင်ဆေးဝါး)	Drugs	Alternative rifamycin			
Rifabutin	ရိုင်ဖာဘျူတင်ဆေးဝါး	Drugs	Rifamycin antibiotic			
Rifampicin	ရိုင်ဖမ်ပီဆင်ဆေးဝါး	Drugs	First-line medication			
Rifamycin	ရိုင်ဖာမိုင်ဆင်	Drugs	Class of antibiotics			
RNA polymerase	RNA ပိုလီမာရေ့စ်	Biology	Enzyme target			
S (Streptomycin)	S (စထရက်တိုမိုင်ဆင်ဆေးဝါး)	Drugs	Injectable aminoglycoside			
Safety profile	ဘေးကင်းမှု သွင်ပြင်လက္ခဏာ	Safety	Safety characteristics			
Screening	စစ်ဆေးခြင်း	Diagnosis	Testing process			
Second-line drug	ဒုတိယတန်းစား ဆေးဝါး	Drugs	Alternative medication			
Shorten treatment	ကုသမှု တိုတောင်းစေ	Treatment	Reduce duration			
Short-course therapy	တိုတောင်းသော ကုထုံး	Treatment	Brief treatment			
Side effect	ဘေးထွက်ဆိုးကျိုး	Safety	Adverse effect			
Specific objective	တိကျသော ရည်ရွယ်ချက်	Goals	Particular goal			
Sputum	သလိပ်	Diagnosis	Mucus specimen			
Sputum examination	သလိပ် စစ်ဆေးခြင်း	Diagnosis	Sputum testing			
Sputum microscopy	သလိပ် အဏုကြည့်မှန်ပြောင်း စစ်ဆေးခြင်း	Diagnosis	Microscopic examination			
Sputum smear	သလိပ်	Diagnosis	Smear test			
Standard regimen	ပုံမှန် ကုထုံး	Treatment	Standard treatment			
Standardized communication	စံသတ်မှတ်ထားသော ဆက်သွယ်ရေး	Communication	Uniform messaging			
Strategy	နည်းဗျူဟာ	Planning	Strategic approach			
Streptomycin	စထရက်တိုမိုင်ဆင်ဆေးဝါး	Drugs	Injectable antibiotic			
Structurally similar	ဖွဲ့စည်းတည်ဆောက်ပုံအရ ဆင်တူ	Chemistry	Similar structure			
Suffering	ခံစားရမှု	Impact	Patient suffering			
Supervised treatment	ကြီးကြပ် ကုသခြင်း	Treatment	DOT approach			
Surveillance	စောင့်ကြည့်စစ်ဆေး လေ့လာခြင်း	Monitoring	Disease monitoring			
Suspect	သံသယ	Diagnosis	Suspected case			
Symptom	လက္ခဏာ	Clinical	Disease sign			
Target	ပန်းတိုင်	Goals	Objective			
Targeted high-risk groups	ဦးတည်အုပ်စုများ	Epidemiology	Focus populations			
TB control	တီဘီရောဂါ တိုက်ဖျက်ရေး	Public Health	TB program			
TB elimination	တီဘီရောဂါ ပပျောက်ခြင်း	Goals	Eradication			
TB-HIV co-infection	TB-HIV တပြိုင်နက် ကူးစက်ခံရခြင်း	Comorbidity	Dual infection			
Therapy	ကုထုံး	Treatment	Medical treatment			
Thrombocytopenia	thrombocytopenia	Side Effects	Low platelet count			
Tissue penetration	တစ်ရှူး ထိုးဖောက်ဝင်ရောက်မှု	Pharmacology	Drug penetration			
Toxicity	အဆိပ်သင့်မှု	Safety	Toxic effects			
Toxicity profile	အဆိပ်သင့်မှု သွင်ပြင်လက္ခဏာ	Safety	Toxicity pattern			
TPT (TB Preventive Therapy)	TPT (တီဘီရောဂါ ကာကွယ်ရေး ကုထုံး)	Prevention	Preventive treatment			
Treatment adherence	ဆေးသောက်လိုက်နာမှု	Treatment	Following treatment			
Treatment duration	ကုသမှု ကာလ	Treatment	Length of treatment			
Treatment guidelines	ကုသမှု လမ်းညွှန်ချက်များ	Standards	Clinical guidelines			
Treatment outcome	ကုသမှု ရလဒ်	Treatment	Result of therapy			
Treatment regimen	ကုသမှု ကုထုံး	Treatment	Treatment protocol			
Treatment success	ကုသမှု အောင်မြင်မှု	Treatment Outcome	Successful treatment			
Tuberculosis	တီဘီရောဂါ	Disease	TB disease			
Universal health coverage	ပြည်သူ တစ်ရပ်လုံး လက်လှမ်း မီသော ကျန်းမာရေး စောင့်ရှောက်မှု	Healthcare System	UHC			
Vision	ရည်မှန်းချက်	Goals	Long-term goal			
WHO	WHO (ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့)	Organization	World Health Organization			
XDR-TB	XDR-TB (ကျယ်ကျယ်ပြန့်ပြန့် ဆေးဒဏ်ခံ တီဘီရောဂါ)	Diagnosis	Extensively drug-resistant TB			
Z (Pyrazinamide)	Z (ပိုင်ရာဇီနမိုက်ဆေးဝါး)	Drugs	First-line TB drug			
Zero TB	ACF (လှုပ်ရှားသော လူနာရှာဖွေခြင်း)	Goals	Eliminate TB completelyACF (Active Case Finding)	ACF (လှုပ်ရှားသော လူနာရှာဖွေခြင်း)	Diagnostic	Proactive case detection
Achievement	အောင်မြင်မှု	General	Success or accomplishment			
Adherence counselling	ဆေးသောက်မှန်ကန်ရေး နှစ်သိမ့်ဆွေးနွေးပညာပေးခြင်း	Patient Education	Treatment compliance counseling			
ART (Antiretroviral Therapy)	ART (ဗိုင်းရပ်စ်ဆန့်ကျင်ရေး ကုထုံး)	Treatment	HIV treatment			
Asymptomatic contacts	ရောဂါလက္ခဏာမရှိသော အတူနေသူများ	Contact Management	Contacts without symptoms			
Bacilli	ပိုး	Microbiology	TB bacteria			
Baseline year	အခြေခံနှစ်	Statistics	Reference year for comparison			
Basic Health Staff Programme	Basic Health Staff Programme	Healthcare System	BHSP program			
Belief	ယုံကြည်ခြင်း	Behavior	Trust or conviction			
Billboards	ကြော်ငြာဆိုင်းဘုတ်များ	Education	Advertising boards			
BSL-3 laboratory	BSL-3 ဓါတ်ခွဲခန်း	Laboratory	Biosafety Level 3 lab			
Catastrophic out-of-pocket costs	အပြင်းအထန် ကုန်ကျစရိတ်များ	Economics	Severe medical expenses			
CHW (Community Health Worker)	CHW (ပြည်သူ့ကျန်းမာရေးလုပ်သား)	Personnel	Community health volunteers			
Clinical exam	ကျန်းမာရေးစစ်ဆေးခြင်း	Diagnosis	Medical examination			
Collaboration	ပူးပေါင်းဆောင်ရွက်ခြင်း	Partnership	Working together			
Colleague	လုပ်ဖက်ကိုင်ဖက်	Personnel	Co-worker			
Community engagement	ပြည်သူလူထု ပူးပေါင်းပါဝင်လှုပ်ရှားမှု	Public Health	Community participation			
Community organization	လူမှုရေးအဖွဲ့အစည်း	Organization	Social organization			
Community transmission	လူထုအတွင်း ကူးစက်ပြန့်ပွားမှု	Epidemiology	Spread within community			
Community-based TB care	ပြည်သူလူထု အခြေပြုတီဘီလုပ်ငန်းများ	Healthcare System	Community TB activities			
Compliance	လိုက်နာဆောင်ရွက်ခြင်း	Behavior	Following instructions			
Confirmed TB patient	အတည်ပြုတီဘီလူနာ	Diagnosis	Laboratory-confirmed case	အတည်ပြုတီဘီလူနာ		
Contact examination	ထိတွေ့သူ စစ်ဆေးခြင်း	Diagnosis	Screening contacts	ထိတွေ့သူ စစ်ဆေးခြင်း		
Continuation phase	ဆက်လက်ကုကာလ	Treatment	Continuation treatment phase			
Cough	ချောင်းဆိုး	Symptom	Respiratory symptom			
Cough for 2 weeks	ရက်သတ္တ (၂)ပတ်နှင့်အထက် ချောင်းဆိုး	Symptom	Prolonged cough			
Counselling session	နှစ်သိမ့်ဆွေးနွေးပညာပေးခြင်း	Education	Counseling meeting			
Diabetes	ဆီးချိုဝေဒနာ	Comorbidity	Diabetes mellitus			
Digital X-ray	Digital X-ray	Diagnosis	Digital radiography			
DOTS Strategy	DOTS Strategy (တိုက်ရိုက်ကြည့်ရှုအချိန်တိုနှင့်ကု မဟာဗျူဟာ)	Strategy	Directly Observed Treatment Short-course			
Elderly	သက်ကြီးရွယ်အို	Demographics	Older adults			
End TB Strategy	တီဘီပပျောက်ရေးမဟာဗျူဟာ	Strategy	WHO TB elimination strategy	တီဘီပပျောက်ရေးမဟာဗျူဟာ		
Ethnic health organization	တိုင်းရင်းသားကျန်းမာရေးအဖွဲ့အစည်း	Organization	Ethnic healthcare group			
Evolution	တိုးတက်ပြောင်းလဲမှု	Change	Development over time			
Exploratory question	ဆန်းစစ်သော မေးခွန်း	Communication	Investigative question			
Factory	အလုပ်ရုံ	Location	Industrial workplace			
Family members	မိသားစုဝင်များ	Demographics	Household members			
Field visit	ကွင်းဆင်းခြင်း	Monitoring	Site visit			
Financial burden	ငွေကြေး ဝန်ထုပ်ဝန်ပိုး	Economics	Economic hardship			
Financial protection	ငွေကြေး ကာကွယ်မှု	Economics	Protection from costs			
Follow-up appointment	ဆေးခန်းသို့ပြန်ပြရန်ချိန်းဆိုခြင်း	Treatment	Scheduled return visit			
Gap	ကွာဟချက်	Evaluation	Shortcoming or deficiency			
Gene Xpert	Gene Xpert	Diagnosis	Molecular diagnostic test			
Health education	ကျန်းမာရေးပညာပေးခြင်း	Education	Health teaching			
Health program	ကျန်းမာရေးလုပ်ငန်းများ	Public Health	Health initiative			
Household contact screening	အတူနေသူ စစ်ဆေးခြင်း	Diagnosis	Contact investigation			
Immunization program	ကာကွယ်ဆေးထိုးခြင်းအစီအစဉ်	Prevention	Vaccination program	ကာကွယ်ဆေးထိုးခြင်းအစီအစဉ်		
Implementation	ပထမဆုံးအိမ်တိုင်ရာရောက်ကုသခြင်း	General	Putting into practice	ပထမဆုံးအိမ်တိုင်ရာရောက်ကုသခြင်း		
Initial home visit	အိမ်တိုင်ယာရောက် Initial Home Visit	Contact Management	First household visit			
Initial phase	ကနဦးကြပ်မတ်ကုကာလ	Treatment	Intensive phase			
Intensive phase	အထူးကြပ်မတ်ကုသကာလ	Treatment	treatment phase	အထူးကြပ်မတ်ကုသကာလ		
International NGO	ပြည်ပအန်ဂျီအို	Organization	Foreign NGO			
JEMM (Joint External Monitoring Mission)	JEMM	Monitoring	External evaluation mission			
Laboratory technician	ဓာတ်ခွဲကျွမ်းကျင်ပညာရှင်	Personnel	Lab specialist			
Leaflets	လက်ကမ်းစာစောင်များ	Education	Educational pamphlets			
Listening	နားထောင်ခြင်း	Communication	Active listening			
Livelihood	အသက်မွေးဝမ်းကျောင်း	Economics	Means of living			
Local NGO	ပြည်တွင်း NGO	Organization	Domestic NGO			
Magazines	မဂ္ဂဇင်း	Education	Print media			
Mandatory notification	မဖြစ်မနေသတင်းပို့ရန် အမိန့်	Reporting	Compulsory reporting			
MCH (Maternal and Child Health)	MCH (မိခင်ကလေးကျန်းမာရေး)	Healthcare System	Mother-child health			
Media	မီဒီယာ	Education	Communication channels			
Migrant worker	ရွှေ့ပြောင်း အလုပ်သမား	Demographics	Mobile laborer			
Milestone	မှတ်တိုင် / ဝိသေသ ရည်မှန်းချက်	Goals	Target achievement point			
Millennium Development Goals	ကုလသမဂ္ဂထောင်စုနှစ်ဖွံ့ဖြိုးမှုရည်မှန်းချက်များ	Goals	MDG targets	ကုလသမဂ္ဂထောင်စုနှစ်ဖွံ့ဖြိုးမှုရည်မှန်းချက်များ		
Misconception	မှားယွင်းသောအယူအဆ	Education	Wrong belief			
Mobile Chest X-ray Machine	Mobile Chest X-ray Machine	Equipment	Portable X-ray			
Mobile team	နယ်လှည့်ဆေးကုအဖွဲ့	Healthcare System	Outreach team			
Monitoring mission	ပြန်လည်သုံးသပ်ခြင်း	Evaluation	Review mission			
Multidisciplinary	ဘက်စုံကျွမ်းကျင်သူ	Expertise	Multiple specialties			
National Strategic Plan	National Strategic Plan	Planning	NSP			
Neighbor	အိမ်နီးချင်း	Demographics	Nearby resident			
NSP (National Strategic Plan)	NSP	Planning	National TB plan			
NTRL (National TB Reference Laboratory)	NTRL	Laboratory	National reference lab			
Observation	ကြည့်ရှုခြင်း	Monitoring	Watching treatment			
Out-of-pocket costs	အပိုငွေကြေး ကုန်ကျမှု	Economics	Direct payment costs			
Outpatient	ပြင်ပလူနာ	Healthcare	Non-admitted patient			
