id	instruction_en	instruction_my	response_en	response_my	category	source	guideline_version	notes
TB-NTP-011	What are the specific milestones for 2025 in Myanmar TB programme?	မြန်မာနိုင်ငံ တီဘီရောဂါ စီမံကိန်းအတွက် ၂၀၂၅ ခုနှစ်၏ ဝိသေသ ရည်မှန်းချက်များမှာ အဘယ်နည်း။	The 2025 milestones include: (1) reducing TB deaths by 75% compared to 2015, (2) reducing new TB incidence by 50% compared to 2015 (from 391 to 190 per 100000), and (3) ensuring no households face catastrophic costs due to TB.	၂၀၂၅ ခုနှစ်အတွက် ဝိသေသ ရည်မှန်းချက်များမှာ (၁) တီဘီရောဂါကြောင့်သေဆုံးသည့်ဦးရေကို ၂၀၁၅ ခုနှစ်က အခြေအနေ ၏ ၇၅ ရာခိုင်နှုန်းလျှော့ချရန်၊ (၂) တီဘီရောဂါလူနာသစ်ဖြစ်ပွားနှုန်းကို ၂၀၁၅ ခုနှစ်က အခြေအနေ၏ ၅၀ ရာခိုင်နှုန်းသို့ လျှော့ချရန် (တီဘီရောဂါလူနာ သစ်ဖြစ်ပွားနှုန်းကို လူ ၁ သိန်းတွင် ၃၉၁ ဦးမှ ၁၉၀ ဦးသို့ လျှော့ ချရန်)၊ နှင့် (၃) မိသားစုဝင်ငွေအပေါ် တီဘီရောဂါကြောင့် ဆုံးရှုံးနစ်နာစေသော အပိုငွေကြေး ကုန်ကျမှုမရှိစေရန် ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	2025 Milestones - three specific targets
TB-NTP-012	What percentage reduction in TB deaths is targeted by 2025?	၂၀၂၅ ခုနှစ်တွင် တီဘီရောဂါကြောင့် သေဆုံးမှုကို ဘယ်လောက် ရာခိုင်နှုန်း လျှော့ချရန် ပန်းတိုင်ထားသနည်း။	The target is to reduce TB deaths by 75% compared to 2015 baseline by 2025.	ပန်းတိုင်မှာ ၂၀၂၅ ခုနှစ်တွင် တီဘီရောဂါကြောင့်သေဆုံးသည့်ဦးရေကို ၂၀၁၅ ခုနှစ်က အခြေအနေ ၏ ၇၅ ရာခိုင်နှုန်းလျှော့ချရန် ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	75% mortality reduction target for 2025
TB-NTP-013	What is the target reduction for new TB incidence by 2025?	၂၀၂၅ ခုနှစ်တွင် တီဘီလူနာသစ် ဖြစ်ပွားနှုန်း လျှော့ချရေး ပန်းတိုင်မှာ အဘယ်နည်း။	The target is to reduce new TB incidence by 50% compared to 2015 levels (from 391 to 190 per 100000 population) by 2025.	ပန်းတိုင်မှာ ၂၀၂၅ ခုနှစ်တွင် တီဘီရောဂါလူနာသစ်ဖြစ်ပွားနှုန်းကို ၂၀၁၅ ခုနှစ်က အခြေအနေ၏ ၅၀ ရာခိုင်နှုန်းသို့ လျှော့ချရန် (တီဘီရောဂါလူနာ သစ်ဖြစ်ပွားနှုန်းကို လူ ၁ သိန်းတွင် ၃၉၁ ဦးမှ ၁၉၀ ဦးသို့ လျှော့ ချရန်) ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	50% incidence reduction target for 2025
TB-NTP-014	What was the baseline TB incidence rate in Myanmar in 2015?	မြန်မာနိုင်ငံ၏ ၂၀၁၅ ခုနှစ် တီဘီလူနာသစ် ဖြစ်ပွားနှုန်း အခြေခံ ကိန်းဂဏန်းမှာ အဘယ်နည်း။	The 2015 baseline TB incidence rate in Myanmar was 391 per 100000 population.	မြန်မာနိုင်ငံ၏ ၂၀၁၅ ခုနှစ် တီဘီလူနာသစ် ဖြစ်ပွားနှုန်း အခြေခံ ကိန်းဂဏန်းမှာ လူ ၁ သိန်းတွင် ၃၉၁ ဦး ဖြစ်ပါသည်။	Diagnostic protocols	Myanmar NTP	2024	2015 baseline - 391 per 100000
TB-NTP-015	What is the target TB incidence rate for Myanmar by 2025?	၂၀၂၅ ခုနှစ်တွင် မြန်မာနိုင်ငံ၏ တီဘီလူနာသစ် ဖြစ်ပွားနှုန်း ပန်းတိုင်မှာ အဘယ်နည်း။	The target TB incidence rate for Myanmar by 2025 is 190 per 100000 population.	၂၀၂၅ ခုနှစ်တွင် မြန်မာနိုင်ငံ၏ တီဘီလူနာသစ် ဖြစ်ပွားနှုန်း ပန်းတိုင်မှာ လူ ၁ သိန်းတွင် ၁၉၀ ဦး ဖြစ်ပါသည်။	Treatment guidelines	Myanmar NTP	2024	2025 target - 190 per 100000
TB-NTP-016	What is the third milestone target for 2025 regarding household costs?	၂၀၂၅ ခုနှစ်အတွက် မိသားစု ကုန်ကျစရိတ် နှင့်ပတ်သက်သည့် တတိယ မှတ်တိုင် ပန်းတိုင်မှာ အဘယ်နည်း။	The third milestone is to ensure no households face catastrophic out-of-pocket costs due to TB.	တတိယ မှတ်တိုင်မှာ မိသားစုဝင်ငွေအပေါ် တီဘီရောဂါကြောင့် ဆုံးရှုံးနစ်နာစေသော အပိုငွေကြေး ကုန်ကျမှုမရှိစေရန် ဖြစ်ပါသည်။	Patient education	Myanmar NTP	2024	Financial protection - zero catastrophic costs
TB-NTP-017	What TB control strategy did Myanmar adopt in 1997?	မြန်မာနိုင်ငံသည် ၁၉၉၇ ခုနှစ်တွင် မည်သည့် တီဘီရောဂါ တိုက်ဖျက်ရေး မဟာဗျူဟာကို အတည်ပြုခဲ့သနည်း။	Myanmar adopted the DOTS Strategy (Directly Observed Treatment Short-course) endorsed by WHO in 1997.	မြန်မာနိုင်ငံသည် ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့က အတည်ပြု ထောက်ခံထားသည့် DOTS Strategy (တိုက်ရိုက်ကြည့်ရှုအချိန်တိုနှင့်ကု မဟာဗျူဟာ) ကို ၁၉၉၇ ခုနှစ်မှ စ၍ အကောင်အထည်ဖေါ်ဆောင်ရွက်ခဲ့ပါသည်။	Healthcare worker training	Myanmar NTP	2024	DOTS Strategy implementation - 1997
TB-NTP-018	What does DOTS Strategy stand for?	DOTS Strategy ဆိုသည်မှာ အဘယ်နည်း။	DOTS Strategy stands for Directly Observed Treatment Short-course.	DOTS Strategy ဆိုသည်မှာ တိုက်ရိုက်ကြည့်ရှုအချိန်တိုနှင့်ကု မဟာဗျူဟာ ဖြစ်ပါသည်။	Healthcare worker training	WHO	2024	DOTS definition and meaning
TB-NTP-019	When was the Stop TB Strategy implemented in Myanmar?	မြန်မာနိုင်ငံတွင် Stop TB Strategy ကို မည်သည့်အချိန်တွင် အကောင်အထည်ဖော်ခဲ့သနည်း။	The Stop TB Strategy was implemented in Myanmar from 2007 to achieve the Millennium Development Goals.	Stop TB Strategy ကို ကုလသမဂ္ဂထောင်စုနှစ်ရည်မှန်းချက်များ ပြည့်မီရန် ၂၀၀၇ ခုနှစ်မှစ၍ တိုးချဲ့အား ဖြည့်ဆောင်ရွက်ခဲ့ပါသည်။	Healthcare worker training	Myanmar NTP	2024	Stop TB Strategy implementation - 2007
TB-NTP-020	What strategy is Myanmar currently implementing for TB control?	မြန်မာနိုင်ငံသည် လက်ရှိတွင် တီဘီရောဂါ တိုက်ဖျက်ရေးအတွက် မည်သည့် မဟာဗျူဟာကို အကောင်အထည်ဖော်နေသနည်း။	Myanmar is currently implementing the WHO End TB Strategy through a 5-year National Strategic TB Plan since 2016.	မြန်မာနိုင်ငံသည် လက်ရှိတွင် WHO ၏ End TB Strategy ကိုအခြေခံ၍ ၅ နှစ် National Strategic TB Plan ကို ၂၀၁၆ ခုနှစ်မှစ၍ အကောင်အထည်ဖော် ဆောင်ရွက်လျက် ရှိပါသည်။	Healthcare worker training	Myanmar NTP	2024	End TB Strategy implementation - 2016
TB-NTP-021	What is the End TB Strategy?	End TB Strategy ဆိုသည်မှာ အဘယ်နည်း။	The End TB Strategy is WHO's strategy to achieve Sustainable Development Goals (SDG) related to TB elimination.	End TB Strategy ဆိုသည်မှာ စဉ်ဆက်မပြတ်ဖွံ့ဖြိုးတိုးတက် ရည်မှန်းချက်ပန်းတိုင်များ (SDG) ပြည့်မီစေရေးအတွက် WHO ၏ တီဘီရောဂါ တိုက်ဖျက်ရေး မဟာဗျူဟာ ဖြစ်ပါသည်။	Healthcare worker training	WHO	2024	End TB Strategy definition
TB-NTP-022	When did Myanmar begin implementing the National Strategic TB Plan?	မြန်မာနိုင်ငံသည် National Strategic TB Plan ကို မည်သည့်အချိန်တွင် စတင် အကောင်အထည်ဖော်ခဲ့သနည်း။	Myanmar began implementing the National Strategic TB Plan in 2016.	မြန်မာနိုင်ငံသည် National Strategic TB Plan ကို ၂၀၁၆ ခုနှစ်မှစ၍ စတင် အကောင်အထည်ဖော် ဆောင်ရွက်ခဲ့ပါသည်။	Healthcare worker training	Myanmar NTP	2024	NSP start year - 2016
TB-NTP-023	How long is the duration of the National Strategic TB Plan?	National Strategic TB Plan သည် ဘယ်နှစ်နှစ် ကာလ စီမံကိန်း ဖြစ်သနည်း။	The National Strategic TB Plan is a 5-year plan.	National Strategic TB Plan သည် ၅ နှစ် ကာလ စီမံကိန်း ဖြစ်ပါသည်။	Healthcare worker training	Myanmar NTP	2024	5-year plan duration
TB-NTP-024	What is the relationship between SDG and End TB Strategy?	SDG နှင့် End TB Strategy တို့ အကြား ဆက်နွယ်မှုမှာ အဘယ်နည်း။	The End TB Strategy is designed to help achieve the Sustainable Development Goals (SDG) targets related to TB elimination.	End TB Strategy သည် စဉ်ဆက်မပြတ်ဖွံ့ဖြိုးတိုးတက် ရည်မှန်းချက်ပန်းတိုင်များ (SDG) တွင်ပါရှိသော တီဘီရောဂါ တိုက်ဖျက်ရေး ပန်းတိုင်များ အောင်မြင်စေရန် ဒီဇိုင်းထုတ်ထားသည့် မဟာဗျူဟာ ဖြစ်ပါသည်။	Healthcare worker training	WHO	2024	SDG-End TB Strategy relationship
TB-NTP-025	What are the three main TB control strategies Myanmar has implemented historically?	မြန်မာနိုင်ငံသည် သမိုင်းကြောင်းအရ အကောင်အထည်ဖော်ခဲ့သည့် အဓိက တီဘီရောဂါ တိုက်ဖျက်ရေး မဟာဗျူဟာ သုံးခုမှာ အဘယ်နည်း။	Myanmar has historically implemented three main TB strategies: (1) DOTS Strategy from 1997, (2) Stop TB Strategy from 2007, and (3) End TB Strategy from 2016.	မြန်မာနိုင်ငံသည် အဓိက တီဘီရောဂါ တိုက်ဖျက်ရေး မဟာဗျူဟာ သုံးခု ကို အကောင်အထည်ဖော်ခဲ့ပါသည်- (၁) ၁၉၉၇ ခုနှစ်မှ DOTS Strategy၊ (၂) ၂၀၀၇ ခုနှစ်မှ Stop TB Strategy၊ နှင့် (၃) ၂၀၁၆ ခုနှစ်မှ End TB Strategy တို့ ဖြစ်ပါသည်။	Healthcare worker training	Myanmar NTP	2024	Historical evolution of three strategies
TB-NTP-026	What is the baseline year for measuring Myanmar's TB targets?	မြန်မာနိုင်ငံ၏ တီဘီရောဂါ ပန်းတိုင်များကို တိုင်းတာရာတွင် အခြေခံနှစ်မှာ အဘယ်နည်း။	The baseline year for measuring Myanmar's TB targets is 2015.	မြန်မာနိုင်ငံ၏ တီဘီရောဂါ ပန်းတိုင်များကို တိုင်းတာရာတွင် အခြေခံနှစ်မှာ ၂၀၁၅ ခုနှစ် ဖြစ်ပါသည်။	Diagnostic protocols	Myanmar NTP	2024	2015 as baseline year
TB-NTP-027	What are the four aspects of TB that Myanmar aims to reduce to zero by 2050?	မြန်မာနိုင်ငံသည် ၂၀၅၀ ခုနှစ်တွင် တီဘီရောဂါ၏ မည်သည့် အရာ လေးခုကို သုညအထိ လျော့ချရန် ရည်မှန်းသနည်း။	Myanmar aims to reduce four aspects of TB to zero by 2050: (1) incidence, (2) mortality, (3) prevalence, and (4) suffering.	မြန်မာနိုင်ငံသည် ၂၀၅၀ ခုနှစ်တွင် တီဘီရောဂါ၏ (၁) ဖြစ်ပွားမှု၊ (၂) သေဆုံးမှု၊ (၃) ဖြစ်ပွားမှု နှင့် (၄) ခံစားရမှု တို့ကို သုညအထိ လျော့ချရန် ရည်မှန်းထားပါသည်။	Treatment guidelines	Myanmar NTP	2024	Four zero targets for 2050
TB-NTP-028	What is the purpose of preventing catastrophic costs for TB-affected households?	တီဘီရောဂါ ထိခိုက်သော မိသားစုများအတွက် အပြင်းအထန် ကုန်ကျစရိတ်များကို ကာကွယ်ရခြင်း၏ ရည်ရွယ်ချက်မှာ အဘယ်နည်း။	The purpose is to ensure that TB diagnosis and treatment do not cause financial burden that affects household income and livelihood.	ရည်ရွယ်ချက်မှာ တီဘီရောဂါ စစ်ဆေးခြင်းနှင့် ကုသခြင်းကြောင့် မိသားစုဝင်ငွေနှင့် အသက်မွေးဝမ်းကျောင်းအပေါ် ငွေကြေး ဝန်ထုပ်ဝန်ပိုး မဖြစ်စေရန် အာမခံရန် ဖြစ်ပါသည်။	Patient education	Myanmar NTP	2024	Financial protection rationale
TB-NTP-029	How does Myanmar's 2035 target compare to the global target?	မြန်မာနိုင်ငံ၏ ၂၀၃၅ ပန်းတိုင်သည် ကမ္ဘာ့ပန်းတိုင် နှင့် မည်သို့ နှိုင်းယှဉ်နိုင်သနည်း။	Myanmar's 2035 target of 90% reduction from 2015 baseline aligns with the global target of reducing TB incidence to 10 per 100000 population, both aiming for substantial reduction in TB burden.	မြန်မာနိုင်ငံ၏ ၂၀၃၅ ပန်းတိုင် ဖြစ်သော ၂၀၁၅ အခြေခံမှ ၉၀% လျော့ချရေးသည် ကမ္ဘာ့ပန်းတိုင် ဖြစ်သော လူ ၁ သိန်းတွင် ၁၀ ယောက်သို့ လျော့ချရေး နှင့် ကိုက်ညီပြီး နှစ်ခုစလုံးသည် တီဘီရောဂါ ဝန်ထုပ်ဝန်ပိုးကို သိသိသာသာ လျော့ချရန် ရည်မှန်းထားပါသည်။	Treatment guidelines	Myanmar NTP	2024	Comparison of national and global targets
TB-NTP-030	What does the historical evolution of TB strategies in Myanmar demonstrate?	မြန်မာနိုင်ငံတွင် တီဘီရောဂါ မဟာဗျူဟာများ၏ သမိုင်းကြောင်းဆိုင်ရာ တိုးတက်ပြောင်းလဲမှုသည် အဘယ်အရာကို ပြသသနည်း။	The evolution demonstrates Myanmar's continuous adaptation to global TB control standards and international development goals, progressing from DOTS (1997) to Stop TB (2007) to End TB Strategy (2016).	တိုးတက်ပြောင်းလဲမှုသည် မြန်မာနိုင်ငံ၏ ကမ္ဘာ့ တီဘီရောဂါ တိုက်ဖျက်ရေး စံနှုန်းများနှင့် အပြည်ပြည်ဆိုင်ရာ ဖွံ့ဖြိုးရေး ရည်မှန်းချက်များအတွက် စဉ်ဆက်မပြတ် လိုက်လျောညီထွေဖြစ်အောင် လုပ်ဆောင်မှုကို ပြသပါသည်၊ DOTS (၁၉၉၇) မှ Stop TB (၂၀၀၇) နှင့် End TB Strategy (၂၀၁၆) သို့ တိုးတက်ခဲ့ပါသည်။	Healthcare worker training	Myanmar NTP	2024	Demonstrates continuous adaptation to global standards
TB-HIST-001	When was tuberculosis first investigated in Myanmar?	မြန်မာနိုင်ငံတွင် တီဘီရောဂါကို ပထမဆုံး မည်သည့်အချိန်တွင် စတင်စူးစမ်းခဲ့သနည်း။	Tuberculosis was first investigated in Myanmar in 1916 according to historical records.	မှတ်တမ်းအချို့အရ မြန်မာနိုင်ငံ၌ တီဘီရောဂါပြဿနာကို ၁၉၁၆ ခုနှစ်တွင် ပထမဦးဆုံး စတင်စူးစမ်းခဲ့ကြောင်း ဖော်ပြပါရှိသည်။	Healthcare worker training	Myanmar NTP	2024	First TB investigation in Myanmar - 1916
TB-HIST-002	When was the first TB clinic opened in Yangon?	ရန်ကုန်တွင် ပထမဆုံး တီဘီဆေးပေးခန်းကို မည်သည့်အချိန်တွင် ဖွင့်လှစ်ခဲ့သနည်း။	The first TB clinic was opened in 1935 at Shwedagon Pagoda Road (former Five Star, Bo Tat Htaung Health Department location) by Yangon Municipality.	၁၉၃၅ ခုနှစ်တွင် သိမ်ဖြူလမ်း (ကြယ်ငါးပွင့် ယခင်ဗိုလ်တထောင် ကျန်းမာရေးဌာနဟောင်း ဖွင့်လှစ်ခဲ့သည့်နေရာ)တွင် ရန်ကုန်မြူနီစပါယ်မှ တီဘီရောဂါအတွက် ဆေးပေးခန်းတစ်ခုကို ပထမဦးဆုံး ဖွင့်လှစ်ခဲ့ပါသည်။	Healthcare worker training	Myanmar NTP	2024	First TB clinic in Yangon - 1935
TB-HIST-003	When did WHO and UNICEF start supporting TB control in Myanmar?	WHO နှင့် UNICEF တို့သည် မြန်မာနိုင်ငံတွင် တီဘီရောဂါ တိုက်ဖျက်ရေးကို မည်သည့်အချိန်တွင် စတင်ပံ့ပိုးခဲ့သနည်း။	In 1951, WHO and UNICEF started supporting TB control activities at the clinic, and BCG vaccination program for tuberculin test negative individuals was also initiated that year.	၁၉၅၁ ခုနှစ်တွင် ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့နှင့် ယူနီဆက်(ဖ်)အဖွဲ့ကြီးတို့၏ ပံ့ပိုးမှုဖြင့် ဆေးပေးခန်းတွင် တီဘီရောဂါတိုက်ဖျက်ရေးလုပ်ငန်းများကို တိုးချဲ့ဆောင်ရွက်ခဲ့ပြီး ကြူဘာကူလင်စမ်းသပ်ပြီး Negative ဖြစ်သူများကို Liquid Vaccine (ဘီစီဂျီ )ကာကွယ်ဆေးထိုးလုပ်ငန်းကို စတင်အကောင်အထည်ဖေါ်ခဲ့သည်။	Healthcare worker training	Myanmar NTP	2024	WHO and UNICEF support began - 1951
TB-HIST-004	When was a TB clinic opened in Mandalay?	မန္တလေးတွင် တီဘီဆေးပေးခန်းကို မည်သည့်အချိန်တွင် ဖွင့်လှစ်ခဲ့သနည်း။	A similar TB clinic was opened in Mandalay in 1954.	၁၉၅၄ ခုနှစ်တွင် မန္တလေးမြို့၌ အလားတူဆေးပေးခန်းတစ်ခု ဖွင့်လှစ်နိုင်ခဲ့သည်။	Healthcare worker training	Myanmar NTP	2024	Mandalay TB clinic opened - 1954
TB-HIST-005	When were TB investigation teams established in Myanmar?	မြန်မာနိုင်ငံတွင် တီဘီရောဂါစူးစမ်းရှာဖွေရေးအဖွဲ့များကို မည်သည့်အချိန်တွင် ဖွဲ့စည်းခဲ့သနည်း။	In 1962-63, Northern and Southern TB Investigation Teams were established, and freeze-dried BCG vaccine was introduced.	၁၉၆၂-၆၃ ခုနှစ်တွင် ဥတ္တရနှင့်ဒက္ခိဏ တီဘီရောဂါစူးစမ်းရှာဖွေရေးအဖွဲ့တစ်ခုစီကို ဖွဲ့စည်း ဆောင်ရွက်နိုင်ခဲ့ပြီး အပူဒဏ်ခံနိုင်သည့် ဘီစီဂျီထိုးဆေး (Freezed Dried Vaccine) ကို စတင်ပြောင်းလဲအသုံးပြုခဲ့သည်။	Healthcare worker training	Myanmar NTP	2024	TB investigation teams established - 1962-63
TB-HIST-006	When was the first 5-year National TB Control Plan developed?	ပထမဆုံး ၅ နှစ် အမျိုးသားတီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်းကို မည်သည့်အချိန်တွင် ရေးဆွဲခဲ့သနည်း။	In 1964-65, the Myanmar government developed a 5-year TB control plan with support from WHO, UNICEF, and UNDP to cover the entire nation.	၁၉၆၄-၆၅ ခုနှစ်တွင် ြမန်မာနိုင်ငံအစိုးရသည် ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့ WHO၊ UNICEF UNDP နှင့် အဖွဲ့များ၏ပံ့ပိုးမှုဖြင့် ြမန်မာနိုင်ငံတ၀ှမ်းလုံးတွင် အမျိုးသားတီဘီရောဂါ တိုက်ဖျက်ရေးစီမံကိန်း လုပ်ငန်းြဖင့် လွှမ်းခြုံနိုင်ရန် တီဘီရောဂါတိုက်ဖျက်ရေး(၅)နှစ် စီမံကိန်းကို ရေးဆွဲချမှတ်ခဲ့သည်။	Healthcare worker training	Myanmar NTP	2024	First 5-year plan drafted - 1964-65
TB-HIST-007	When was the 5-year TB control plan implemented?	၅ နှစ် တီဘီရောဂါ တိုက်ဖျက်ရေး စီမံကိန်းကို မည်သည့်အချိန်တွင် စတင်အကောင်အထည်ဖော်ခဲ့သနည်း။	The 5-year plan was implemented starting in 1966-67.	၁၉၆၆-၆၇ ခုနှစ်တွင် (၅)နှစ် စီမံကိန်းကို စတင်အကောင်အထည်ဖေါ်နိုင်ခဲ့သည်။	Healthcare worker training	Myanmar NTP	2024	5-year plan implementation - 1966-67
